"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RN7SL2",26030.6312773,9.77311149877709,0.480259898764837,18.2674246201699,1.50382282380859e-74,4.02588408161799e-70
"FP236383.5",18794.7538089015,10.6255774457559,0.579342056337502,16.6146706258598,5.45737552117607e-62,7.30497000387023e-58
"PPP1R15A",6928.6994165488,-6.37041992784969,0.325605004984925,-16.4936651637106,4.07465036594829e-61,3.63608216489339e-57
"SNORA73B",3450.4276053798,9.20582930990554,0.499860256468301,16.4162467484068,1.46343617386406e-60,9.79441245262869e-57
"FOSL1",714.724634963456,-8.88193605653487,0.48530288826858,-16.2412716822175,2.57529680388819e-59,1.37886541473781e-55
"SCARNA7",1829.16231975141,9.88688471544375,0.563472340884572,15.7716432034492,4.87643798821565e-56,2.17578535637535e-52
"UBC",9484.87351061319,-5.28089501936698,0.272435019502088,-15.7134535317483,1.22329831908167e-55,4.67841704287647e-52
"AD000090.1",1896.52323330198,10.8251256352948,0.673547336962965,14.5871345577528,3.39145912271023e-48,1.13490940217594e-44
"MAFF",2918.2457769373,-6.84815371495029,0.402965473005784,-14.512791062043,1.0054474096806e-47,2.99075917828438e-44
"NFIL3",1512.74409873454,-5.82444488379528,0.340684895660442,-14.1610178356829,1.59664700625308e-45,4.27438370044013e-42
"RPL4",6273.50470276321,-4.07335607511994,0.22529102057418,-13.6417158006881,2.261756918642e-42,5.50449949717864e-39
"SNORD89",443.091204217484,6.22916704761449,0.383990957899176,13.6179431834109,3.13266631331485e-42,6.98871748947932e-39
"LIF",1086.09223670088,-6.03051663802072,0.371392181856996,-13.5450256730437,8.47842531612772e-42,1.74596864721581e-38
"RN7SL4P",2389.91738878342,10.7472241376896,0.725834108673705,13.4289970961828,4.08911811918083e-41,7.81927008347071e-38
"CXCL2",3889.62524705729,-9.34311584466333,0.63043069001028,-13.2339938027562,5.58395388559255e-40,9.96586863141322e-37
"GADD45A",2230.65113070284,-5.26542123988386,0.323853955217364,-13.1708171883249,1.29191697701371e-39,2.16161933697712e-36
"CCN1",6786.86287053702,-5.26828015391847,0.325139006485451,-13.1275548881566,2.28929587179322e-39,3.60510234022214e-36
"CSF3",2276.04512717506,-9.69279044864459,0.662499767131996,-13.1211977421158,2.48968644569618e-39,3.70285532431848e-36
"RN7SL674P",7863.73156178217,13.4652001964429,0.954739620261133,13.0561253894895,5.86370718313335e-39,8.26196342103489e-36
"ATF3",5915.74993569877,-6.21798289044699,0.400908918159378,-13.0153824325071,1.00040190966466e-38,1.33908797618163e-35
"IL6",4446.53879167268,-10.1556045992663,0.704382191888715,-12.9980636999307,1.25480227926733e-38,1.5996338961079e-35
"KRT15",2268.69692762628,-6.4304838496231,0.420195774381237,-12.9236993342444,3.3084407288219e-38,4.02592121596778e-35
"ACTG2",687.427211326108,-5.97796091912781,0.385537544560817,-12.9117409947673,3.8646318957366e-38,4.49826349916367e-35
"MAP2K3",1201.81842790757,-5.26169816086659,0.3325221905815,-12.8162819853133,1.32923116836956e-37,1.48270198368423e-34
"KLF4",1204.26985263624,-5.03552115700472,0.319368152965394,-12.6359535837689,1.3376260519704e-36,1.43238348149198e-33
"CXCL1",934.72708183391,-8.37723192626354,0.593043658672394,-12.4396101676198,1.59279370374706e-35,1.64002616319279e-32
"BCL3",547.966538591407,-4.8529715143002,0.310677286440954,-12.4018448803868,2.553753336696e-35,2.53209372506254e-32
"SNORD15B",757.367850056699,9.26791503520958,0.667871363898473,12.3795022247225,3.37429073802993e-35,3.22618347670712e-32
"FP236383.4",4330.18461744674,11.0189876206272,0.812601611691091,12.3295197504923,6.28200071253233e-35,5.79915314052424e-32
"CXCL3",659.177691054883,-9.00858097541876,0.651671454913321,-12.2892922730273,1.03407367557434e-34,9.22772878960023e-32
"SOX17",272.018839369537,-6.51214775155274,0.451391728836614,-12.2114504972419,2.70031640926624e-34,2.33194098685376e-31
"SNORD3A",1122.41885240898,9.67383813215132,0.726110465213343,11.9456178470073,6.84398559375794e-33,5.72563557282793e-30
"C11orf96",329.518062852588,-4.6191183334752,0.311639257989978,-11.6131656737277,3.53289095263923e-31,2.86603102100317e-28
"SOX10",245.422610794486,-5.85043398711731,0.423579098250192,-11.4510701948101,2.32260163906187e-30,1.82877554350957e-27
"PHLDA2",201.57673553803,-6.78439233737247,0.510161160555427,-11.338362824553,8.47144376804429e-30,6.47968631755182e-27
"ZC3H12A",1570.70235916031,-4.95427523276303,0.349174016496012,-11.3246548882545,9.90682707357551e-30,7.36710187740806e-27
"TICAM1",463.692592485544,-5.31301711621679,0.384371838856701,-11.2209498204803,3.21795480047568e-29,2.3283207557712e-26
"OLFM4",372.030155498723,-8.14304742916162,0.638003256786365,-11.1959419535588,4.26841389796609e-29,3.00709759111711e-26
"KRT16",281.951504127527,-6.49847484392367,0.491567692124301,-11.1855903714138,4.79702165519964e-29,3.2928478649064e-26
"PCBP1",1191.40593881638,-3.78780298748313,0.253498194971079,-10.9973287494263,3.93619645433387e-28,2.6343978819743e-25
"MYBPC1",1328.41129476732,-8.546561512456,0.690898391545039,-10.9228239706562,8.96638041326905e-28,5.85460902545429e-25
"CX3CL1",2883.07163985084,-6.27568188612468,0.48376092477419,-10.9055560628161,1.08428289981688e-27,6.91127083595185e-25
"RNF122",384.01808926888,-4.9005564162233,0.357850385434166,-10.899964272753,1.153025530638e-27,7.17852243737442e-25
"NXF1",1297.71392377541,-3.77585549594529,0.257210025322862,-10.7921745758584,3.74814079514457e-27,2.28048811879126e-24
"ZFP36",10369.546278808,-6.98488822924192,0.557197207546055,-10.7410592662513,6.52909199081637e-27,3.88422937080322e-24
"SNORD17",652.116481199477,8.29559483065234,0.680118223189488,10.7269509651408,7.60646794083084e-27,4.42679898356483e-24
"RNU4_2",2343.1600908228,12.1017793954317,1.03793669961121,10.6960081473082,1.06257760725018e-26,6.05239683482863e-24
"RASD1",719.729564875545,-6.03475793917691,0.471971376621503,-10.6675069475972,1.44450100597064e-26,8.05640342309167e-24
"H1_4",647.404534082879,6.86020255247068,0.554225139605913,10.5736859151457,3.94671298713232e-26,2.15627455874529e-23
"PROM1",403.044968163112,-5.64298644005785,0.441499218594689,-10.5164091905682,7.25874484303685e-26,3.88647716385879e-23
"YBX3",2340.38807916801,-4.51265049823779,0.335606237170688,-10.4665828855,1.23003290022378e-25,6.45670799448839e-23
"SCARNA6",392.631802389789,8.54527995048683,0.722043200448505,10.4499009834868,1.46678284795854e-25,7.55139300436503e-23
"SERTAD1",548.611656788133,-4.54553701005389,0.349166723968688,-10.1542809399324,3.17139315558942e-24,1.60191256921291e-21
"MALAT1",98775.3074660616,5.10447544259198,0.406816180665316,10.089263007876,6.16304863335091e-24,3.05538842524884e-21
"MT1A",182.722293742834,-8.72627894778977,0.767386115113883,-10.0683069391256,7.62798288464066e-24,3.71288599644936e-21
"RCAN1",2968.62164207656,-5.61435667498271,0.45989195166532,-10.0335669243039,1.08523784886246e-23,5.18801829498159e-21
"NGFR",313.307646043117,-5.02976580541814,0.402223173868475,-10.0187310608211,1.26111644873837e-23,5.92304358757456e-21
"CDC42EP1",798.876278969955,-4.86431750673919,0.386399243531083,-10.0008412838115,1.51107823060232e-23,6.97466815714737e-21
"PIGR",2618.75401004084,-7.28841629126764,0.633351036147414,-9.92880082666194,3.11984851309251e-23,1.41561804311864e-20
"BCL6",2179.31390716819,-5.32790904139015,0.437950027804446,-9.88219834826145,4.97297695298828e-23,2.21885943347415e-20
"BAG3",3289.11204396716,-6.41754716329788,0.549314262520934,-9.86238212427885,6.0594448909674e-23,2.65930162583751e-20
"KLF5",807.938390361626,-4.30207379960326,0.33509521822205,-9.85413583972765,6.57801019284e-23,2.84032114310515e-20
"TSPYL2",989.420739087359,-4.00341256259557,0.304938018627975,-9.84925584585679,6.90533388696639e-23,2.93432846806313e-20
"SOX7",363.879770920512,-6.76769334993399,0.586385105254883,-9.83601612361377,7.87683844039174e-23,3.29485690449574e-20
"ECRG4",129.94402885412,-6.52076810488401,0.565114765201502,-9.76928660307696,1.52522239342736e-22,6.28180441452983e-20
"HMGA1",680.800802206735,-4.52664307760082,0.361081879588345,-9.76687914004823,1.56189226606857e-22,6.33536634165481e-20
"RNY1",1116.34119089345,11.0471674668033,1.04148964413723,9.64692018145448,5.06541726022237e-22,2.02397441005094e-19
"TNFRSF10D",671.540083831548,-5.71879852551227,0.489534194266166,-9.63936448318175,5.45244814491972e-22,2.14658072481832e-19
"DLK1",308.72242848499,-8.30603583443916,0.758999335193604,-9.62587909589612,6.21729949276139e-22,2.41222209740167e-19
"CAPN6",341.701478017943,-5.79178321938186,0.501817610017092,-9.5488542524816,1.31138523348482e-21,5.01529915508889e-19
"RIPK4",321.416455678304,-3.99521918903672,0.314224911861823,-9.53208697327548,1.54152560843636e-21,5.8124200089366e-19
"RNU4_1",562.673923690205,9.31780386621953,0.873662303110317,9.52061664628014,1.72154446512476e-21,6.40103706609095e-19
"FAM107A",357.308383735945,-4.77016295230373,0.397466834140059,-9.48547810400504,2.41274471305544e-21,8.84816283742565e-19
"RNU5B_1",557.695508010467,12.5008824660742,1.215640197743,9.46076189930796,3.05707475759858e-21,1.10595876129286e-18
"ADAMTS9",2323.9125551327,-5.29900612726032,0.454695241852332,-9.45469785376923,3.23956214600067e-21,1.15635090947445e-18
"CSRNP1",2593.00099167715,-4.5872909189373,0.380607824500069,-9.42516335193379,4.29436601014899e-21,1.51269042707498e-18
"GJA4",267.617594175898,-4.37482119256564,0.358282337082156,-9.41944618328135,4.53473501702846e-21,1.57661546936193e-18
"SCARNA5",1453.58722170814,12.9214124824872,1.27087052987379,9.38050903082246,6.56549839808319e-21,2.25339689250109e-18
"MT2A",2293.92215901809,-5.47774510425453,0.478488454031152,-9.35810481220727,8.11796937500927e-21,2.75096402706801e-18
"SCARNA13",439.065037715784,7.4775678747476,0.693203003686027,9.34440249148357,9.24097566812943e-21,3.09237699514366e-18
"INPP1",280.895737252988,-3.47657719441376,0.265402573069182,-9.3313985835706,1.04482971688532e-20,3.45322670996753e-18
"HBEGF",1357.31053083049,-5.97108263181846,0.534271901264244,-9.30440590279112,1.3474349713137e-20,4.39904653866329e-18
"PNRC1",3013.94048155642,-4.56721717035672,0.383723713999562,-9.29631669926137,1.45395294200662e-20,4.65066665519984e-18
"SELE",5503.26727137115,-7.0492243667044,0.650739030418592,-9.2959298335205,1.45925067810984e-20,4.65066665519984e-18
"RPL28",2900.39975189029,-3.5667595503007,0.276424198784947,-9.28558194826348,1.60825879743656e-20,5.06525838425578e-18
"EPHA2",960.122181473291,-4.88856880065595,0.419940366825625,-9.25981188722118,2.04792692508668e-20,6.3750060129646e-18
"TIPARP",2017.99698201993,-4.12534045386119,0.339281202300077,-9.21165225975881,3.21142988034285e-20,9.88197578467339e-18
"SLCO4A1",102.242740447606,-5.20570158448735,0.457852008521726,-9.18572269250574,4.08773122913511e-20,1.24355287199064e-17
"SLC2A3",2200.88027667053,-4.44402009085532,0.376302595479404,-9.15226238731542,5.57534737592433e-20,1.67705196180753e-17
"CDKN1A",4352.69746360039,-4.0208568777834,0.33190895833989,-9.10146231934454,8.91236468521602e-20,2.65103238875465e-17
"ELF5",461.182962148761,-6.22173932997925,0.574783983707404,-9.08469873551208,1.039862579286e-19,3.05913858352369e-17
"ITPKC",1854.58610747373,-4.84086034359059,0.42421171265393,-9.05411196584273,1.37683513641561e-19,4.00644059097634e-17
"WIF1",333.830790902691,-7.65749085494699,0.738210740459657,-9.01841505421827,1.90830092883823e-19,5.4932391576267e-17
"H4C3",497.025409408076,9.88314829919146,0.985248949999309,9.01614591844801,1.94822853628874e-19,5.54851341967934e-17
"SNORA23",148.165222580211,6.72071623491555,0.635800873883753,8.99765393521856,2.30592362013281e-19,6.49809276153427e-17
"H4C5",483.562935163555,5.82990816809103,0.539158623955732,8.95823224092135,3.29925020827732e-19,9.20044034643669e-17
"JUN",7612.61668442197,-3.80341609426389,0.313543432219344,-8.94107739530873,3.85394336402272e-19,1.06364863709538e-16
"EREG",565.015993035525,-8.32371211847482,0.820104133116324,-8.93022217879253,4.25154066717283e-19,1.16140811429473e-16
"EPOP",274.450629992859,-4.7256596272078,0.418145174103147,-8.90996682001349,5.10478384853134e-19,1.38040574150538e-16
"NEDD4L",2199.43542072919,-3.53929417974444,0.285496265643738,-8.89431661748299,5.87798875708282e-19,1.57359637015864e-16
